Employeed ID ,Citizen Status,Citizen Country
795134,Citizen of United States,US
623125,Citizen of United States,US
561531,Citizen of United States,US
301121,Citizen of United States,US
135837,Citizen of United States,US
133035,Citizen of United States,US
839866,Citizen of United States,US
618934,Citizen of United States,US
626792,Citizen of United States,US
315815,Citizen of United States,US
890081,Citizen of United States,US
176244,Citizen of United States,US
946491,Citizen of United States,US
343370,Citizen of United States,US
619535,Citizen of United States,US
171104,Citizen of United States,US
314324,Citizen of United States,US
802328,Citizen of United States,US
391278,Citizen of United States,US
191754,Citizen of United States,US
573360,Citizen of United States,US
455672,Citizen of United States,US
161775,Citizen of United States,US
720758,Citizen of United States,US
747352,Citizen of United States,US
435584,Citizen of United States,US
950634,Citizen of United States,US
478436,Citizen of United States,US
778871,Citizen of United States,US
628335,Citizen of United States,US
871078,Citizen of United States,US
477062,Citizen of United States,US
239750,Citizen of United States,US
639710,Citizen of United States,US
892446,Citizen of United States,US
751637,Citizen of United States,US
896274,Citizen of United States,US
380033,Citizen of United States,US
972759,Citizen of United States,US
406226,Citizen of United States,US
334888,Citizen of United States,US
157821,Citizen of United States,US
146596,Citizen of United States,US
410111,Citizen of United States,US
748960,Citizen of United States,US
127719,Citizen of United States,US
955535,Citizen of United States,US
535381,Citizen of United States,US
631695,Citizen of United States,US
840262,Citizen of United States,US
238652,Citizen of United States,US
699625,Citizen of United States,US
726369,Citizen of United States,US
947472,Citizen of United States,US
398834,Citizen of United States,US
543016,Citizen of United States,US
482712,Citizen of United States,US
230852,Citizen of United States,US
611852,Citizen of United States,US
401273,Citizen of United States,US
891238,Citizen of United States,US
304064,Citizen of Sweden,SE
812605,Citizen of United States,US
841840,Citizen of United States,US
860618,Citizen of United States,US
172042,Citizen of United States,US
238972,Citizen of United States,US
572116,Citizen of United States,US
724491,Citizen of United States,US
973240,Citizen of United States,US
447941,Citizen of United States,US
108350,Citizen of United States,US
505605,Citizen of United States,US
205923,Citizen of United States,US
837421,Citizen of United States,US
360278,Citizen of United States,US
981259,Citizen of Eritrea,ER
460870,Citizen of United States,US
458674,Citizen of United States,US
808026,Citizen of United States,US
648609,Citizen of United States,US
768726,Citizen of United States,US
496634,Citizen of United States,US
363343,Citizen of United States,US
897439,Citizen of United States,US
120155,Citizen of United States,US
960157,Citizen of United States,US
808357,Citizen of United States,US
901436,Citizen of United States,US
825092,Citizen of United States,US
875398,Citizen of United States,US
622641,Citizen of United States,US
947142,Citizen of United States,US
863147,Citizen of United States,US
794272,Citizen of United States,US
168803,Citizen of United States,US
253979,Citizen of Eritrea,ER
761615,Citizen of United States,US
732705,Citizen of United States,US
668220,Citizen of United States,US
406137,Citizen of United States,US
651582,Citizen of United States,US
665913,Citizen of United States,US
472192,Citizen of United States,US
767319,Citizen of United States,US
933298,Citizen of United States,US
444202,Citizen of United States,US
167912,Citizen of United States,US
947711,Citizen of United States,US
674635,Citizen of United States,US
893276,Citizen of United States,US
923151,Citizen of United States,US
